openTime,openTimeIso,open,high,low,close,volume
1785732600000,2026-08-03T04:50:00.000Z,62926.01000000,62926.01000000,62853.00000000,62864.37000000,28.14280000
1785732900000,2026-08-03T04:55:00.000Z,62864.37000000,62870.57000000,62770.37000000,62790.00000000,41.21110000
1785733200000,2026-08-03T05:00:00.000Z,62790.00000000,62847.81000000,62790.00000000,62800.00000000,44.57149000
1785733500000,2026-08-03T05:05:00.000Z,62800.01000000,62834.91000000,62751.30000000,62834.91000000,51.58562000
1785733800000,2026-08-03T05:10:00.000Z,62834.91000000,62871.13000000,62830.00000000,62852.01000000,33.36581000
1785734100000,2026-08-03T05:15:00.000Z,62852.01000000,62862.01000000,62808.73000000,62862.00000000,102.21608000
1785734400000,2026-08-03T05:20:00.000Z,62862.01000000,62875.02000000,62802.00000000,62827.71000000,57.52578000
1785734700000,2026-08-03T05:25:00.000Z,62827.71000000,62856.00000000,62816.00000000,62816.00000000,95.70350000
1785735000000,2026-08-03T05:30:00.000Z,62816.01000000,62833.86000000,62793.44000000,62793.44000000,25.54974000
1785735300000,2026-08-03T05:35:00.000Z,62793.44000000,62812.16000000,62774.88000000,62812.16000000,31.06656000
1785735600000,2026-08-03T05:40:00.000Z,62812.16000000,62849.98000000,62808.09000000,62808.75000000,19.80805000
1785735900000,2026-08-03T05:45:00.000Z,62808.75000000,62862.92000000,62808.00000000,62856.03000000,43.65541000
1785736200000,2026-08-03T05:50:00.000Z,62856.03000000,62856.03000000,62811.00000000,62817.54000000,22.99961000
1785736500000,2026-08-03T05:55:00.000Z,62817.54000000,62839.99000000,62807.67000000,62827.17000000,18.64441000
1785736800000,2026-08-03T06:00:00.000Z,62827.17000000,62849.46000000,62823.20000000,62838.40000000,26.03932000
1785737100000,2026-08-03T06:05:00.000Z,62838.40000000,62872.58000000,62832.35000000,62861.06000000,20.75790000
1785737400000,2026-08-03T06:10:00.000Z,62861.06000000,62861.06000000,62827.15000000,62846.00000000,18.76633000
1785737700000,2026-08-03T06:15:00.000Z,62846.01000000,62850.00000000,62814.46000000,62814.47000000,16.63345000
1785738000000,2026-08-03T06:20:00.000Z,62814.46000000,62814.47000000,62778.00000000,62804.55000000,28.21042000
1785738300000,2026-08-03T06:25:00.000Z,62804.55000000,62804.55000000,62759.82000000,62793.17000000,36.27522000
1785738600000,2026-08-03T06:30:00.000Z,62793.17000000,62841.01000000,62784.25000000,62784.26000000,18.70102000
1785738900000,2026-08-03T06:35:00.000Z,62784.25000000,62784.26000000,62670.00000000,62702.00000000,56.62399000
1785739200000,2026-08-03T06:40:00.000Z,62702.00000000,62702.00000000,62640.00000000,62640.01000000,66.13291000
1785739500000,2026-08-03T06:45:00.000Z,62640.01000000,62672.00000000,62618.00000000,62663.49000000,38.49837000
1785739800000,2026-08-03T06:50:00.000Z,62663.49000000,62683.50000000,62646.00000000,62663.99000000,41.75228000
1785740100000,2026-08-03T06:55:00.000Z,62663.99000000,62663.99000000,62613.00000000,62623.60000000,27.92720000
1785740400000,2026-08-03T07:00:00.000Z,62623.60000000,62639.99000000,62592.00000000,62622.89000000,41.14445000
1785740700000,2026-08-03T07:05:00.000Z,62622.90000000,62676.85000000,62609.81000000,62610.00000000,391.61894000
1785741000000,2026-08-03T07:10:00.000Z,62610.00000000,62656.00000000,62599.61000000,62599.99000000,197.16124000
1785741300000,2026-08-03T07:15:00.000Z,62599.99000000,62626.37000000,62552.04000000,62597.99000000,124.86818000
1785741600000,2026-08-03T07:20:00.000Z,62597.99000000,62650.00000000,62592.00000000,62644.77000000,34.83976000
1785741900000,2026-08-03T07:25:00.000Z,62644.77000000,62674.64000000,62639.95000000,62639.96000000,77.95402000
1785742200000,2026-08-03T07:30:00.000Z,62639.95000000,62700.00000000,62632.05000000,62695.03000000,38.86376000
1785742500000,2026-08-03T07:35:00.000Z,62695.04000000,62695.04000000,62603.10000000,62640.01000000,56.68475000
1785742800000,2026-08-03T07:40:00.000Z,62640.01000000,62645.83000000,62638.32000000,62643.92000000,38.18846000
1785743100000,2026-08-03T07:45:00.000Z,62643.93000000,62675.31000000,62634.99000000,62635.00000000,130.53661000
1785743400000,2026-08-03T07:50:00.000Z,62635.00000000,62655.82000000,62608.00000000,62620.58000000,69.97766000
1785743700000,2026-08-03T07:55:00.000Z,62620.59000000,62627.14000000,62580.47000000,62621.10000000,62.89044000
1785744000000,2026-08-03T08:00:00.000Z,62621.10000000,62647.69000000,62586.00000000,62608.00000000,23.08662000
1785744300000,2026-08-03T08:05:00.000Z,62607.99000000,62630.26000000,62539.12000000,62539.13000000,24.57904000
1785744600000,2026-08-03T08:10:00.000Z,62539.12000000,62571.85000000,62516.01000000,62566.01000000,35.59122000
1785744900000,2026-08-03T08:15:00.000Z,62566.01000000,62569.30000000,62491.23000000,62491.24000000,57.16678000
1785745200000,2026-08-03T08:20:00.000Z,62491.24000000,62491.24000000,62340.00000000,62418.42000000,128.04348000
1785745500000,2026-08-03T08:25:00.000Z,62418.41000000,62418.42000000,62326.00000000,62340.01000000,69.39812000
1785745800000,2026-08-03T08:30:00.000Z,62340.00000000,62372.00000000,62300.00000000,62314.19000000,94.87475000
1785746100000,2026-08-03T08:35:00.000Z,62314.20000000,62428.30000000,62314.20000000,62396.01000000,58.12862000
1785746400000,2026-08-03T08:40:00.000Z,62396.00000000,62439.36000000,62396.00000000,62439.35000000,43.22621000
1785746700000,2026-08-03T08:45:00.000Z,62439.36000000,62457.36000000,62436.23000000,62455.06000000,41.88604000
1785747000000,2026-08-03T08:50:00.000Z,62455.06000000,62490.71000000,62436.23000000,62484.02000000,36.68078000
1785747300000,2026-08-03T08:55:00.000Z,62484.02000000,62541.50000000,62484.01000000,62541.50000000,44.66956000
1785747600000,2026-08-03T09:00:00.000Z,62541.50000000,62567.99000000,62520.00000000,62551.50000000,109.20740000
1785747900000,2026-08-03T09:05:00.000Z,62551.50000000,62590.20000000,62536.27000000,62540.96000000,72.11467000
1785748200000,2026-08-03T09:10:00.000Z,62540.96000000,62577.13000000,62540.95000000,62571.24000000,25.41020000
1785748500000,2026-08-03T09:15:00.000Z,62571.25000000,62606.06000000,62571.25000000,62600.19000000,19.79394000
1785748800000,2026-08-03T09:20:00.000Z,62600.18000000,62667.04000000,62600.18000000,62649.73000000,32.71604000
1785749100000,2026-08-03T09:25:00.000Z,62649.72000000,62653.36000000,62620.00000000,62653.36000000,42.67717000
1785749400000,2026-08-03T09:30:00.000Z,62653.36000000,62707.50000000,62628.00000000,62657.39000000,58.30867000
1785749700000,2026-08-03T09:35:00.000Z,62657.39000000,62672.15000000,62638.00000000,62664.94000000,30.34263000
1785750000000,2026-08-03T09:40:00.000Z,62664.95000000,62692.49000000,62664.94000000,62692.49000000,16.13337000
1785750300000,2026-08-03T09:45:00.000Z,62692.48000000,62749.45000000,62692.48000000,62734.40000000,29.98079000
1785750600000,2026-08-03T09:50:00.000Z,62734.41000000,62764.99000000,62734.41000000,62761.99000000,106.89227000
1785750900000,2026-08-03T09:55:00.000Z,62761.99000000,62863.10000000,62761.99000000,62837.40000000,41.83360000
1785751200000,2026-08-03T10:00:00.000Z,62837.40000000,62860.00000000,62784.83000000,62809.59000000,64.27226000
1785751500000,2026-08-03T10:05:00.000Z,62809.59000000,62809.59000000,62770.00000000,62775.08000000,29.19101000
1785751800000,2026-08-03T10:10:00.000Z,62775.08000000,62804.33000000,62766.66000000,62788.01000000,13.95636000
1785752100000,2026-08-03T10:15:00.000Z,62788.01000000,62800.00000000,62758.00000000,62793.99000000,103.28625000
1785752400000,2026-08-03T10:20:00.000Z,62793.99000000,62833.68000000,62775.42000000,62796.00000000,35.38032000
1785752700000,2026-08-03T10:25:00.000Z,62796.01000000,62796.01000000,62742.01000000,62742.02000000,14.52653000
1785753000000,2026-08-03T10:30:00.000Z,62742.02000000,62742.02000000,62674.00000000,62693.70000000,34.14522000
1785753300000,2026-08-03T10:35:00.000Z,62693.70000000,62697.39000000,62674.01000000,62677.99000000,29.13691000
1785753600000,2026-08-03T10:40:00.000Z,62677.99000000,62720.00000000,62677.99000000,62708.86000000,12.23336000
1785753900000,2026-08-03T10:45:00.000Z,62708.86000000,62708.86000000,62642.82000000,62642.82000000,27.49297000
1785754200000,2026-08-03T10:50:00.000Z,62642.82000000,62686.75000000,62615.11000000,62686.74000000,14.76282000
